,latitude,longitude,squirrel_id,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flag,tail_twitches,approaches,indifferent,runs_from
134,40.792580780830704,-73.9528682507794,36I-PM-1007-13,PM,2018-10-07,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,True,True,False,False
135,40.77246650364471,-73.97824171151392,7A-AM-1006-01,AM,2018-10-06,Adult,Gray,Above Ground,in tree,False,False,False,False,True,nan,False,True,False,False,True,False,False,False
136,40.770075080231706,-73.9721442939797,7G-PM-1018-03,PM,2018-10-18,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
137,40.7769884612305,-73.969847380865,14E-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,nan,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False
138,40.768483816820705,-73.97686527856641,3D-PM-1010-03,PM,2018-10-10,Adult,Cinnamon,Ground Plane,nan,False,False,False,False,False,nan,False,False,False,False,False,False,False,False
139,40.793758098573,-73.9590992841423,35D-PM-1013-09,PM,2018-10-13,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
140,40.7705711897977,-73.9724063986771,7F-PM-1012-01,PM,2018-10-12,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
141,40.7787872561177,-73.9661361310677,18G-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,nan,False,False,False,True,True,burying,False,False,False,False,False,False,False,True
142,40.7701304211944,-73.9730750601212,6F-PM-1008-01,PM,2018-10-08,Adult,Gray,Above Ground,nan,False,True,False,False,False,nan,False,False,False,False,False,False,False,False
143,40.7720868124544,-73.971970670614,9F-AM-1013-04,AM,2018-10-13,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
144,40.795104437820704,-73.95621174550999,38E-AM-1010-09,AM,2018-10-10,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
145,40.7905423546155,-73.9564023626619,33G-AM-1013-02,AM,2018-10-13,Adult,Gray,Above Ground,shelter in hole in tree,False,False,True,False,False,nan,False,False,False,False,False,False,True,True
146,40.795247554804796,-73.9532620128307,39G-AM-1018-01,AM,2018-10-18,Adult,Gray,Ground Plane,nan,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
147,40.7904409912437,-73.9576349321357,32G-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
148,40.7686351097159,-73.97634308293419,4D-PM-1008-11,PM,2018-10-08,Adult,Cinnamon,Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True
149,40.7694886645194,-73.9714789136757,6H-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,False,False
150,40.7697883435981,-73.9755133710665,5E-AM-1008-08,AM,2018-10-08,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
151,40.7773295419104,-73.9702348982803,15D-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
152,40.7781658424866,-73.9686056085297,16E-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,True,False,False
